"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2025","51,551.0","51,419.0","51,678.0","51,376.0","22.91K","0.05%"
"02/12/2025","51,523.5","51,723.0","51,801.0","51,450.0","6.64K","-0.58%"
"02/11/2025","51,822.5","52,000.0","52,023.0","51,685.0","11.65K","-0.24%"
"02/10/2025","51,948.0","51,715.0","51,977.0","51,700.0","10.03K","0.52%"
"02/07/2025","51,678.0","51,882.0","51,962.0","51,700.0","9.97K","-0.28%"
"02/06/2025","51,823.0","51,651.0","52,133.0","51,634.0","15.32K","1.33%"
"02/05/2025","51,141.0","50,998.0","51,141.0","50,800.0","10.26K","-0.38%"
"02/04/2025","51,338.0","51,247.0","51,352.0","51,055.0","9.73K","0.15%"
"02/03/2025","51,259.5","51,284.0","51,400.0","50,985.0","34.02K","-1.70%"
"01/31/2025","52,148.0","52,003.0","52,280.0","52,000.0","11.61K","1.21%"
"01/30/2025","51,526.5","51,674.0","51,757.0","51,357.0","11.65K","-0.11%"
"01/29/2025","51,582.0","51,785.0","51,909.0","51,582.0","13.61K","0.12%"
"01/28/2025","51,520.0","51,359.0","51,607.0","51,218.0","8.43K","1.26%"
"01/27/2025","50,877.0","51,217.0","51,236.0","50,294.0","29.60K","-2.15%"
"01/24/2025","51,996.5","52,366.0","52,386.0","51,944.0","10.50K","-0.84%"
"01/23/2025","52,438.0","52,416.0","52,488.0","52,297.9","6.93K","-0.10%"
"01/22/2025","52,489.0","52,233.0","52,493.0","52,083.0","13.48K","1.03%"
"01/21/2025","51,953.0","51,990.0","52,254.0","51,896.1","8.96K","-0.01%"
"01/20/2025","51,960.0","52,161.0","52,343.0","51,875.5","10.41K","-0.63%"
"01/17/2025","52,287.0","51,836.0","52,317.0","51,750.0","12.71K","1.23%"
"01/16/2025","51,650.0","51,933.0","52,085.0","51,538.0","6.25K","0.44%"
"01/15/2025","51,423.0","50,709.0","51,459.0","50,671.0","7.70K","1.33%"
"01/14/2025","50,750.0","50,909.0","51,228.8","50,649.0","11.61K","0.43%"
"01/13/2025","50,530.5","50,712.0","50,726.4","50,429.6","12.51K","-0.08%"
"01/10/2025","50,573.0","50,971.0","51,078.0","50,407.0","13.93K","-0.61%"
"01/09/2025","50,882.0","51,003.0","51,159.1","50,801.0","4.22K","0.34%"
"01/08/2025","50,709.5","50,426.0","51,485.0","50,286.0","10.31K","0.46%"
"01/07/2025","50,478.0","50,508.0","50,751.0","50,351.0","10.70K","-0.97%"
"01/06/2025","50,971.5","50,727.0","51,946.0","49,669.0","13.94K","0.71%"
"01/03/2025","50,611.0","50,369.0","51,578.0","49,573.0","12.85K","0.08%"
"01/02/2025","50,570.0","50,166.0","51,766.0","49,412.0","9.44K","0.81%"
